Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_1206_3216Metric",223.961078,-117.812500,0.000000,bottom
"C2","100n","C_0402_1005Metric",214.461078,-141.062500,90.000000,bottom
"C3","15p","C_0402_1005Metric",214.961078,-154.312500,180.000000,bottom
"C4","15p","C_0402_1005Metric",213.211078,-157.062500,-90.000000,bottom
"C5","100n","C_0402_1005Metric",221.750000,-133.250000,0.000000,bottom
"C6","100n","C_0402_1005Metric",211.211078,-155.312500,-90.000000,bottom
"C7","100n","C_0402_1005Metric",217.961078,-144.812500,90.000000,bottom
"C8","1u","C_0402_1005Metric",209.711078,-141.812500,90.000000,bottom
"C9","1u","C_0402_1005Metric",208.711078,-141.812500,90.000000,bottom
"C10","100n","C_0402_1005Metric",213.461078,-141.062500,90.000000,bottom
"C11","100n","C_0402_1005Metric",207.711078,-141.812500,90.000000,bottom
"C12","100n","C_0402_1005Metric",207.461078,-145.062500,90.000000,bottom
"C13","100n","C_0402_1005Metric",207.211078,-150.562500,-90.000000,bottom
"C14","100n","C_0402_1005Metric",219.211078,-149.562500,0.000000,bottom
"C15","100n","C_0402_1005Metric",212.211078,-154.812500,-90.000000,bottom
"C16","10u","C_1206_3216Metric",218.461078,-130.062500,180.000000,bottom
"D1","NCD0805","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",226.211078,-125.562500,0.000000,bottom
"D2","D_Small","D_SOD-123",70.000000,-104.500000,78.000000,bottom
"D3","D_Small","D_SOD-123",66.000000,-123.000000,78.000000,bottom
"D4","D_Small","D_SOD-123",62.500000,-139.500000,78.000000,bottom
"D5","D_Small","D_SOD-123",89.000000,-106.500000,78.000000,bottom
"D6","D_Small","D_SOD-123",85.000000,-125.000000,78.000000,bottom
"D7","D_Small","D_SOD-123",81.500000,-141.750000,78.000000,bottom
"D8","D_Small","D_SOD-123",108.000000,-108.000000,78.000000,bottom
"D9","D_Small","D_SOD-123",104.000000,-126.500000,78.000000,bottom
"D10","D_Small","D_SOD-123",100.500000,-143.250000,78.000000,bottom
"D11","D_Small","D_SOD-123",127.250000,-109.500000,78.000000,bottom
"D12","D_Small","D_SOD-123",123.250000,-128.000000,78.000000,bottom
"D13","D_Small","D_SOD-123",119.250000,-146.750000,78.000000,bottom
"D14","D_Small","D_SOD-123",115.250000,-165.250000,-102.000000,bottom
"D15","D_Small","D_SOD-123",145.250000,-115.750000,78.000000,bottom
"D16","D_Small","D_SOD-123",141.250000,-134.500000,78.000000,bottom
"D17","D_Small","D_SOD-123",137.250000,-153.000000,78.000000,bottom
"D18","D_Small","D_SOD-123",133.500000,-170.500000,-102.000000,bottom
"D19","D_Small","D_SOD-123",164.250000,-117.750000,78.000000,bottom
"D20","D_Small","D_SOD-123",160.250000,-136.250000,78.000000,bottom
"D21","D_Small","D_SOD-123",156.250000,-154.750000,78.000000,bottom
"D22","D_Small","D_SOD-123",152.250000,-173.000000,78.000000,bottom
"D23","D_Small","D_SOD-123",184.000000,-115.750000,78.000000,bottom
"D24","D_Small","D_SOD-123",180.156946,-134.363944,78.000000,bottom
"D25","D_Small","D_SOD-123",176.000000,-153.000000,78.000000,bottom
"D26","D_Small","D_SOD-123",176.750000,-183.000000,-117.000000,bottom
"D27","D_Small","D_SOD-123",237.750000,-121.500000,180.000000,bottom
"D28","D_Small","D_SOD-123",258.750000,-131.500000,102.000000,bottom
"D29","D_Small","D_SOD-123",262.750000,-150.000000,102.000000,bottom
"D30","D_Small","D_SOD-123",259.500000,-177.750000,-63.000000,bottom
"D31","D_Small","D_SOD-123",274.843054,-114.863944,102.000000,bottom
"D32","D_Small","D_SOD-123",278.500000,-133.500000,102.000000,bottom
"D33","D_Small","D_SOD-123",282.500000,-152.000000,102.000000,bottom
"D34","D_Small","D_SOD-123",286.500000,-170.500000,102.000000,bottom
"D35","D_Small","D_SOD-123",293.500000,-112.750000,102.000000,bottom
"D36","D_Small","D_SOD-123",297.500000,-131.500000,102.000000,bottom
"D37","D_Small","D_SOD-123",301.500000,-150.000000,102.000000,bottom
"D38","D_Small","D_SOD-123",305.000000,-168.000000,102.000000,bottom
"D39","D_Small","D_SOD-123",311.750000,-106.500000,102.000000,bottom
"D40","D_Small","D_SOD-123",315.750000,-125.000000,102.000000,bottom
"D41","D_Small","D_SOD-123",319.500000,-143.750000,102.000000,bottom
"D42","D_Small","D_SOD-123",322.000000,-161.750000,102.000000,bottom
"D43","D_Small","D_SOD-123",330.750000,-105.000000,102.000000,bottom
"D44","D_Small","D_SOD-123",334.750000,-123.500000,102.000000,bottom
"D45","D_Small","D_SOD-123",338.750000,-142.000000,102.000000,bottom
"D46","D_Small","D_SOD-123",350.000000,-103.500000,102.000000,bottom
"D47","D_Small","D_SOD-123",353.750000,-122.000000,102.000000,bottom
"D48","D_Small","D_SOD-123",357.750000,-140.000000,-78.000000,bottom
"D49","D_Small","D_SOD-123",367.750000,-101.750000,102.000000,bottom
"D50","D_Small","D_SOD-123",371.750000,-120.250000,102.000000,bottom
"D51","D_Small","D_SOD-123",374.750000,-138.000000,-78.000000,bottom
