Designator,Mid X,Mid Y,Rotation,Layer
C1,223.961078,-117.8125,0,bottom
C2,214.461078,-141.0625,90,bottom
C3,214.961078,-154.3125,180,bottom
C4,213.211078,-157.0625,-90,bottom
C5,221.75,-133.25,0,bottom
C6,211.211078,-155.3125,-90,bottom
C7,217.961078,-144.8125,90,bottom
C8,209.711078,-141.8125,90,bottom
C9,208.711078,-141.8125,90,bottom
C10,213.461078,-141.0625,90,bottom
C11,207.711078,-141.8125,90,bottom
C12,207.461078,-145.0625,90,bottom
C13,207.211078,-150.5625,-90,bottom
C14,219.211078,-149.5625,0,bottom
C15,212.211078,-154.8125,-90,bottom
C16,218.461078,-130.0625,180,bottom
D1,226.211078,-125.5625,0,bottom
D2,70,-104.5,78,bottom
D3,66,-123,78,bottom
D4,62.5,-139.5,78,bottom
D5,89,-106.5,78,bottom
D6,85,-125,78,bottom
D7,81.5,-141.75,78,bottom
D8,108,-108,78,bottom
D9,104,-126.5,78,bottom
D10,100.5,-143.25,78,bottom
D11,127.25,-109.5,78,bottom
D12,123.25,-128,78,bottom
D13,119.25,-146.75,78,bottom
D14,115.25,-165.25,-102,bottom
D15,145.25,-115.75,78,bottom
D16,141.25,-134.5,78,bottom
D17,137.25,-153,78,bottom
D18,133.5,-170.5,-102,bottom
D19,164.25,-117.75,78,bottom
D20,160.25,-136.25,78,bottom
D21,156.25,-154.75,78,bottom
D22,152.25,-173,78,bottom
D23,184,-115.75,78,bottom
D24,180.156946,-134.363944,78,bottom
D25,176,-153,78,bottom
D26,176.75,-183,-117,bottom
D27,237.75,-121.5,180,bottom
D28,258.75,-131.5,102,bottom
D29,262.75,-150,102,bottom
D30,259.5,-177.75,-63,bottom
D31,274.843054,-114.863944,102,bottom
D32,278.5,-133.5,102,bottom
D33,282.5,-152,102,bottom
D34,286.5,-170.5,102,bottom
D35,293.5,-112.75,102,bottom
D36,297.5,-131.5,102,bottom
D37,301.5,-150,102,bottom
D38,305,-168,102,bottom
D39,311.75,-106.5,102,bottom
D40,315.75,-125,102,bottom
D41,319.5,-143.75,102,bottom
D42,322,-161.75,102,bottom
D43,330.75,-105,102,bottom
D44,334.75,-123.5,102,bottom
D45,338.75,-142,102,bottom
D46,350,-103.5,102,bottom
D47,353.75,-122,102,bottom
D48,357.75,-140,-78,bottom
D49,367.75,-101.75,102,bottom
D50,371.75,-120.25,102,bottom
D51,374.75,-138,-78,bottom
J1,212.427159,-100.9125,0,bottom
Q1,236.05,-118.1875,-90,bottom
R1,226.211078,-129.8125,0,bottom
R2,226.211078,-128.5625,180,bottom
R3,226.211078,-127.3125,0,bottom
R4,215.711078,-109.3125,-90,bottom
R5,216.976078,-109.3125,-90,bottom
R6,207.961078,-109.3125,-90,bottom
R7,209.211078,-109.3125,-90,bottom
R8,227.461078,-133.25,0,bottom
R9,235,-114.0625,-90,bottom
R10,233.461078,-118.25,90,bottom
R11,213.211078,-154.8125,90,bottom
R12,212.211078,-141.8125,-90,bottom
R13,210.961078,-141.8125,-90,bottom
U1,220,-124,-90,bottom
U2,212.427156,-110.9125,-90,bottom
U3,224.5,-137.25,180,bottom
U4,212.461078,-148.8125,180,bottom
Y1,215.711078,-157.0625,-90,bottom
